Ads,Ad name,Quality ranking,Engagement rate ranking,Conversion rate ranking,Amount spent (AUD),Result Type,Cost per result,Impressions,Reach,Frequency,Clicks (all),CTR (all),Outbound clicks,Purchases,Purchase ROAS (return on ad spend),Video plays at 95%,Preview link,Reporting starts,Reporting ends
DPA - Prospecting - CAR - All prod - CAN,DPA - Prospecting - CAR - All prod - CAN,Average,Above average,Above average,146.96,Website purchases,36.74,7993,3397,2.35295849,427,5.3421744,371,4,4.74516875,,https://www.facebook.com/?feed_demo_ad=120213447706090758&h=AQBocoUhr2btf1IRJ0U&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
V1 - Nienke Partnership - Casuals,V1 - Nienke Partnership - Casuals,Below average – bottom 35% of ads,Average,Average,130.18,,,10134,9007,1.1251249,184,1.81567002,183,,,1018,https://www.facebook.com/?feed_demo_ad=120235687254570758&h=AQBxrXhCpHqYJO9lBpg,17/10/2025,23/10/2025
Video - Amy - Jessica Skort,Video - Amy - Jessica Skort,Average,Average,Below average – bottom 35% of ads,119.86,Website purchases,59.93,10282,6507,1.58014446,220,2.13966154,207,2,3.04313366,1064,https://www.facebook.com/?feed_demo_ad=120235405564680758&h=AQB-GnAB0E9pjDFQT6M,17/10/2025,23/10/2025
V7 - Partnership - @Bellarychter - AUS - 01.10.25,V7 - Partnership - @Bellarychter - AUS - 01.10.25,Average,Average,Average,119.45,Website purchases,19.90833333,10401,7222,1.44018277,121,1.16334968,101,6,4.08338217,315,https://www.facebook.com/?feed_demo_ad=120235479154040758&h=AQDNrWsF-3nc-IyoDac,17/10/2025,23/10/2025
EPV1 - @eileencassidy_ - Cierra Midi Dress - White - Exisiting Posts - AUS - 01.04.25,EPV1 - @eileencassidy_ - Cierra Midi Dress - White - Exisiting Posts - AUS - 01.04.25,Average,Above average,Above average,111.22,Website purchases,18.53666667,3920,2645,1.48204159,147,3.75,121,6,7.36809926,123,https://www.facebook.com/?feed_demo_ad=120219840781250758&h=AQBXER0r0U9Clenn1hA,17/10/2025,23/10/2025
V1 - Yana Partnership - Margo,V1 - Yana Partnership - Margo,Below average – bottom 35% of ads,Above average,Average,99.45,Website purchases,9.04090909,9459,6803,1.39041599,91,0.96204673,69,11,14.82936149,237,https://www.facebook.com/?feed_demo_ad=120233636374060758&h=AQAZZ5fCHaL1L5givyQ,17/10/2025,23/10/2025
EPV3 - @rosalieburns - Halen Off Shoulder Mini Dress - Black - USA - 09.10.25 – Copy,EPV3 - @rosalieburns - Halen Off Shoulder Mini Dress - Black - USA - 09.10.25 – Copy,Below average – bottom 35% of ads,Average,Average,96.13,,,6516,5319,1.2250423,213,3.26887661,183,,,467,https://www.facebook.com/?feed_demo_ad=120235482687130758&h=AQAHdatryP6ni2Tw690,17/10/2025,23/10/2025
EPV5 - @josephinemok - Tiffy Crochet Short Sleeve Maxi Dress - White - AUS - 23.09.25 – Copy,EPV5 - @josephinemok - Tiffy Crochet Short Sleeve Maxi Dress - White - AUS - 23.09.25 – Copy,Average,Above average,Average,94.98,Website purchases,23.745,7720,5760,1.34027778,96,1.24352332,59,4,5.52442619,1004,https://www.facebook.com/?feed_demo_ad=120234546450510758&h=AQD7zLEA0tEkoOWjsk8,17/10/2025,23/10/2025
DPA URL - 19.02.24,DPA URL - 19.02.24,Above average,Above average,Above average,89.05,Website purchases,3.425,5298,2344,2.26023891,406,7.66326916,383,26,37.66052779,,https://www.facebook.com/?feed_demo_ad=120217205921560758&h=AQB7FzJDkSCeekfu3fU,17/10/2025,23/10/2025
V1 - Sienna Partnership  - Evening,V1 - Sienna Partnership  - Evening,Below average – bottom 35% of ads,Average,Above average,88.97,Website purchases,11.12125,12512,9104,1.37434095,57,0.45556266,28,8,16.60267506,243,https://www.facebook.com/?feed_demo_ad=120233636011210758&h=AQDMQwErBL0q0Hrb-Xo,17/10/2025,23/10/2025
EP3 - Blue Orchid - AUS - 09.10.25 – Copy,EP3 - Blue Orchid - AUS - 09.10.25 – Copy,Average,Above average,Above average,84.04,Website purchases,84.04,11046,8650,1.27699422,94,0.85098678,77,1,1.61732508,,https://www.facebook.com/?feed_demo_ad=120235482283870758&h=AQBIKtyL1glgVBSpxSM,17/10/2025,23/10/2025
EPV3 - @justanothermannequin - Melanie Halter Neck Maxi Dress - Cream - AUS - 02.09.25,EPV3 - @justanothermannequin - Melanie Halter Neck Maxi Dress - Cream - AUS - 02.09.25,Average,Above average,Above average,77.37,Website purchases,12.895,3030,2132,1.42120075,100,3.30033003,77,6,15.37236655,307,https://www.facebook.com/?feed_demo_ad=120233265575780758&h=AQAIszcceBdb6SQ4zwI,17/10/2025,23/10/2025
EPV6 - @amytowne - Back In Stock - AUS - 02.09.25,EPV6 - @amytowne - Back In Stock - AUS - 02.09.25,Average,Above average,Above average,77.34,Website purchases,25.78,1913,1416,1.3509887,62,3.24098275,43,3,7.13279028,279,https://www.facebook.com/?feed_demo_ad=120233265575730758&h=AQCeF7a4aSdvmLkIsKU,17/10/2025,23/10/2025
C1- Rochelle Partnership - Event Ready - Copy,C1- Rochelle Partnership - Event Ready - Copy,Average,Above average,Above average,76.7,Website purchases,76.7,9801,6645,1.47494357,151,1.54065912,120,1,2.0071708,25,https://www.facebook.com/?feed_demo_ad=120235479879940758&h=AQAqeY5LkNqBdYXIboA,17/10/2025,23/10/2025
EPV1 - @bynicolevoz - Bridesmaid Dresses and Gowns - AUS -  14.10.25 – Copy,EPV1 - @bynicolevoz - Bridesmaid Dresses and Gowns - AUS -  14.10.25 – Copy,Average,Above average,Average,66.67,Website purchases,33.335,5527,3989,1.38556029,76,1.37506785,54,2,7.97660117,447,https://www.facebook.com/?feed_demo_ad=120235697641920758&h=AQDTVKyxusfITL32AGU,17/10/2025,23/10/2025
EP6 - @tammounna - Dae Maxi Dress - White/Natural - AUS - 23.09.25 – Copy,EP6 - @tammounna - Dae Maxi Dress - White/Natural - AUS - 23.09.25 – Copy,Average,Above average,Above average,66.25,,,13724,9384,1.46248934,359,2.61585544,355,,,,https://www.facebook.com/?feed_demo_ad=120234546450450758&h=AQAfNOdhX0znOYoL1Nc,17/10/2025,23/10/2025
EPV13 - @kirsty_ackermann - Evening Dresses - AUS - 27.08.25,EPV13 - @kirsty_ackermann - Evening Dresses - AUS - 27.08.25,Average,Above average,Above average,65.9,Website purchases,16.475,3360,2132,1.57598499,72,2.14285714,54,4,6.79514416,23,https://www.facebook.com/?feed_demo_ad=120232968775490758&h=AQCbJiatBNYETtgndlY,17/10/2025,23/10/2025
V2 - Polka Dot Trend - Arrivals - AUS - 08.10.25 - Copy,V2 - Polka Dot Trend - Arrivals - AUS - 08.10.25 - Copy,Average,Above average,Average,63.89,,,2315,1941,1.19268418,54,2.33261339,37,,,157,https://www.facebook.com/?feed_demo_ad=120235410888030758&h=AQAtQwuiC7Urxal3vzk,17/10/2025,23/10/2025
DPA - Prospecting - Static - All prod - CAN,DPA - Prospecting - Static - All prod - CAN,Average,Above average,Above average,63.44,Website purchases,15.86,4797,2138,2.24368569,163,3.39795706,102,4,9.78751576,111,https://www.facebook.com/?feed_demo_ad=120235469399490758&h=AQCe1XS3fVraukgmrso&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
EP4 - @deepikangalie - Alani Maxi Dress - Chocolate - AUS - 14.10.25 – Copy,EP4 - @deepikangalie - Alani Maxi Dress - Chocolate - AUS - 14.10.25 – Copy,Average,Above average,Average,60.05,Website purchases,60.05,5221,3968,1.31577621,71,1.35989274,47,1,3.44579517,,https://www.facebook.com/?feed_demo_ad=120235697641930758&h=AQCteIMbXp_U0bA8t5w,17/10/2025,23/10/2025
C1 - DPA - Yellow Evening Dresses - AUS - 18.7.25 – Copy,C1 - DPA - Yellow Evening Dresses - AUS - 18.7.25 – Copy,Average,Above average,Above average,57.4,Website purchases,28.7,5226,3690,1.41626016,102,1.95177956,89,2,2.59494774,,https://www.facebook.com/?feed_demo_ad=120233778742700758&h=AQDmIBnUsXB51w4hbnc,17/10/2025,23/10/2025
DYNCAR - All Prods - AUS - 05.08.25,DYNCAR - All Prods - AUS - 05.08.25,Average,Above average,Above average,43.27,Website purchases,21.635,2073,1870,1.10855615,89,4.29329474,77,2,11.27316848,,https://www.facebook.com/?feed_demo_ad=120231605852210758&h=AQBA-gJvnVPOolSJHDk,17/10/2025,23/10/2025
EP2 - @jasminestringer - Haisley Maxi Dress - White - AUS - 14.10.25 – Copy,EP2 - @jasminestringer - Haisley Maxi Dress - White - AUS - 14.10.25 – Copy,Average,Above average,Above average,42.18,,,6232,5385,1.15728877,60,0.96277279,49,,,,https://www.facebook.com/?feed_demo_ad=120235697641950758&h=AQCHoNGxhGCUbftfNEM,17/10/2025,23/10/2025
V1 - Yana Partnership - Brazilio,V1 - Yana Partnership - Brazilio,Average,Above average,Above average,41.45,Website purchases,8.29,1741,1468,1.1859673,113,6.49052269,106,5,18.10856454,79,https://www.facebook.com/?feed_demo_ad=120234119010810758&h=AQBtLjoxNEJ99ISvdUY,17/10/2025,23/10/2025
C1 - DPA - Black Evening Dresses - 18.7.25 – Copy,C1 - DPA - Black Evening Dresses - 18.7.25 – Copy,Average,Above average,Above average,38.58,Website purchases,38.58,3458,2559,1.35130911,51,1.47484095,47,1,6.0622084,,https://www.facebook.com/?feed_demo_ad=120233778731930758&h=AQDh9p-UC0vetnRUwrs,17/10/2025,23/10/2025
EPV2 - @kellyydoan - Victoria Maxi Dress - Navy - USA - 22.10.25 – Copy,EPV2 - @kellyydoan - Victoria Maxi Dress - Navy - USA - 22.10.25 – Copy,Average,Above average,Average,38.53,,,1909,1718,1.11117579,62,3.2477737,51,,,117,https://www.facebook.com/?feed_demo_ad=120236371544390758&h=AQCbPPnoI2dyJN-hlwU,17/10/2025,23/10/2025
S1 - Sofia Maxi Yellow - NZ - 29.08.25,S1 - Sofia Maxi Yellow - NZ - 29.08.25,Average,Above average,Average,37.41,,,10494,6898,1.52131052,73,0.6956356,69,,,,https://www.facebook.com/?feed_demo_ad=120233049975560758&h=AQA1rVBbPbwqjqDk6Dw,17/10/2025,23/10/2025
C1 - DPA - Blue Evening Dresses - AUS - 18.7.25 – Copy,C1 - DPA - Blue Evening Dresses - AUS - 18.7.25 – Copy,Average,Above average,Above average,34.77,Website purchases,34.77,3228,2202,1.46594005,53,1.64188352,44,1,2.67356917,,https://www.facebook.com/?feed_demo_ad=120233778779890758&h=AQA6oDRv2O4xzX8zRHY,17/10/2025,23/10/2025
EPV3 - @saramessy - Back In Stock - AUS - 23.09.25 – Copy,EPV3 - @saramessy - Back In Stock - AUS - 23.09.25 – Copy,Average,Average,Average,34.57,Website purchases,34.57,2543,1977,1.28629236,34,1.33700354,22,1,4.9146659,65,https://www.facebook.com/?feed_demo_ad=120234546450480758&h=AQBHJugI3BwCEVQpcE0,17/10/2025,23/10/2025
EPV2 - @francoisedraschler - Event Ready Dresses - UK - 05.08.25 – Copy,EPV2 - @francoisedraschler - Event Ready Dresses - UK - 05.08.25 – Copy,Average,Average,Average,32.15,Website purchases,32.15,1945,1258,1.54610493,59,3.03341902,41,1,2.8600311,57,https://www.facebook.com/?feed_demo_ad=120233787580810758&h=AQDOp0BEEISb1Rdsqic,17/10/2025,23/10/2025
C1 - DPA - Pink Evening Dresses - 30.07.25 – Copy,C1 - DPA - Pink Evening Dresses - 30.07.25 – Copy,Average,Above average,Above average,31.63,,,2218,1595,1.39059561,53,2.38954013,48,,,,https://www.facebook.com/?feed_demo_ad=120233778726000758&h=AQADZ__P5DmCxEmpJAo,17/10/2025,23/10/2025
DPA - Top Search Terms - Wedding Guest Dresses - AUS - 21.7.25 – Copy,DPA - Top Search Terms - Wedding Guest Dresses - AUS - 21.7.25 – Copy,Average,Above average,Above average,28.52,Website purchases,14.26,1137,738,1.54065041,55,4.83729112,51,2,7.85063114,,https://www.facebook.com/?feed_demo_ad=120234909082370758&h=AQD1KnNB7I-bgXTGU1g,17/10/2025,23/10/2025
V4 - Partnership - @Yanamarx -  AUS,V4 - Partnership - @Yanamarx -  AUS,Average,Above average,Average,26.72,,,2435,1753,1.38904735,74,3.03901437,70,,,91,https://www.facebook.com/?feed_demo_ad=120235479154060758&h=AQB-5fUzAP9Mv-1Z12Q,17/10/2025,23/10/2025
DPA - All Product - USA,DPA - All Product - USA,-,-,-,17.55,Website purchases,17.55,495,222,2.22972973,25,5.05050505,22,1,14.11794872,,https://www.facebook.com/?feed_demo_ad=120229446252890758&h=AQCac-qgR-y5vLP-iQw&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
DPA - All Product - USA,DPA - All Product - USA,-,-,-,15.69,Website purchases,15.69,393,204,1.92647059,19,4.8346056,19,1,13.35818993,4,https://www.facebook.com/?feed_demo_ad=120229446396520758&h=AQA7mJqbjAeo-btqcEE&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
C1 - DPA - Olive Evening Dresses - AUS - 21.7.25 – Copy,C1 - DPA - Olive Evening Dresses - AUS - 21.7.25 – Copy,Average,Above average,Average,15.53,,,1133,890,1.27303371,28,2.47131509,23,,,,https://www.facebook.com/?feed_demo_ad=120233778764370758&h=AQCu8A-XCQ0aucf0QMY,17/10/2025,23/10/2025
EPV1 -  @wendi.zeng - Elda Bow Front Top - White - AUS - 02.09.25,EPV1 -  @wendi.zeng - Elda Bow Front Top - White - AUS - 02.09.25,Average,Above average,Above average,15.49,,,786,542,1.4501845,19,2.4173028,13,,,58,https://www.facebook.com/?feed_demo_ad=120233265575790758&h=AQBmrsBZrB4q5d2kVMI,17/10/2025,23/10/2025
EPV3 - @nienkejansz - Nella Playsuit - Printed Blue Denim - USA - 22.10.25 – Copy,EPV3 - @nienkejansz - Nella Playsuit - Printed Blue Denim - USA - 22.10.25 – Copy,-,-,-,15.25,,,381,356,1.07022472,4,1.04986877,1,,,25,https://www.facebook.com/?feed_demo_ad=120236371544420758&h=AQC4ANh4nx4S9wy2DS8,17/10/2025,23/10/2025
EPV7 - @josefinealexandersson - Robin Off Shoulder Mini Dress - Taupe - AUS - 23.09.25 – Copy,EPV7 - @josefinealexandersson - Robin Off Shoulder Mini Dress - Taupe - AUS - 23.09.25 – Copy,Average,Above average,Above average,11.52,,,820,638,1.28526646,6,0.73170732,2,,,25,https://www.facebook.com/?feed_demo_ad=120234546450440758&h=AQAB761A6tX3gSYHBmA,17/10/2025,23/10/2025
EP2 - @dearnaeaton - Connie Maxi Dress - White - AUS - 23.09.25 – Copy,EP2 - @dearnaeaton - Connie Maxi Dress - White - AUS - 23.09.25 – Copy,Above average,Above average,Above average,10.56,,,2416,2127,1.13587212,10,0.41390728,9,,,,https://www.facebook.com/?feed_demo_ad=120234546450520758&h=AQA1J-I00caFp-M02qg,17/10/2025,23/10/2025
C1 - DPA - Sage Evening Dresses - AUS - 21.7.25 – Copy,C1 - DPA - Sage Evening Dresses - AUS - 21.7.25 – Copy,Average,Above average,Above average,10.34,Website purchases,10.34,966,660,1.46363636,24,2.48447205,24,1,10.82688588,,https://www.facebook.com/?feed_demo_ad=120233778814940758&h=AQBdsJESOplb_muRV5U,17/10/2025,23/10/2025
EP4 - @justanothermannequin - Tory Strapless Top - Blue Orchid - AUS - 23.09.25 – Copy,EP4 - @justanothermannequin - Tory Strapless Top - Blue Orchid - AUS - 23.09.25 – Copy,Average,Above average,Above average,9.7,,,2977,2444,1.21808511,14,0.47027209,13,,,,https://www.facebook.com/?feed_demo_ad=120234546450540758&h=AQAB-7gpTMWozAJl7bY,17/10/2025,23/10/2025
V5 - Victoria Maxi Dress - Yellow - UK - 14.10.25,V5 - Victoria Maxi Dress - Yellow - UK - 14.10.25,Below average – bottom 35% of ads,Average,Average,9.23,Website purchases,9.23,653,488,1.33811475,16,2.45022971,9,1,39.5460455,15,https://www.facebook.com/?feed_demo_ad=120233788364340758&h=AQB1LRsu-joX_DGT-xo,17/10/2025,23/10/2025
EP2 - @rosalieburns - Halen Off Shoulder Mini Dress - Black - AUS - 22.10.25 – Copy,EP2 - @rosalieburns - Halen Off Shoulder Mini Dress - Black - AUS - 22.10.25 – Copy,Average,Above average,Above average,9.16,,,582,495,1.17575758,2,0.34364261,1,,,3,https://www.facebook.com/?feed_demo_ad=120236371165680758&h=AQB5XklrCEGChB0nSBg,17/10/2025,23/10/2025
EPV2 - @sophieepotter - Addien Top & Imogen Button Pants - USA - 14.07.25 – Copy,EPV2 - @sophieepotter - Addien Top & Imogen Button Pants - USA - 14.07.25 – Copy,Below average – bottom 35% of ads,Above average,Average,6.57,,,610,529,1.15311909,27,4.42622951,27,,,3,https://www.facebook.com/?feed_demo_ad=120235332444570758&h=AQCN81ptyMh-UiqbYCU,17/10/2025,23/10/2025
EPV2 - @saramessy - Back In Stock - USA - 23.09.25 – Copy,EPV2 - @saramessy - Back In Stock - USA - 23.09.25 – Copy,-,-,-,5.49,,,350,307,1.14006515,88,25.14285714,92,,,109,https://www.facebook.com/?feed_demo_ad=120235003650640758&h=AQBZ-50lOHrB7YsC6Do,17/10/2025,23/10/2025
EP5 - @josefinealexandersson - Nella Playsuit - White Denim - AUS - 23.09.25 – Copy,EP5 - @josefinealexandersson - Nella Playsuit - White Denim - AUS - 23.09.25 – Copy,-,-,-,4.95,,,413,296,1.39527027,3,0.72639225,2,,,,https://www.facebook.com/?feed_demo_ad=120234546450420758&h=AQDv37kE7dl9CayzYOo,17/10/2025,23/10/2025
EP6 - @desislava.iliykova - Caden Maxi Dress - White - AUS - 23.09.25 – Copy,EP6 - @desislava.iliykova - Caden Maxi Dress - White - AUS - 23.09.25 – Copy,-,-,-,2.34,,,330,270,1.22222222,4,1.21212121,4,,,,https://www.facebook.com/?feed_demo_ad=120234546450530758&h=AQCdsP5LSBPpdvfwvgg,17/10/2025,23/10/2025
DYNCAR1 - Top All Time - AUS - 19.08.25,DYNCAR1 - Top All Time - AUS - 19.08.25,-,-,-,2.25,,,168,120,1.4,2,1.19047619,2,,,,https://www.facebook.com/?feed_demo_ad=120234909082330758&h=AQBB8URarrTlMYg9OtA,17/10/2025,23/10/2025
EP1 - @bellarychter - Melanie Halter Neck Maxi Dress - Cream - AUS - 22.10.25 – Copy,EP1 - @bellarychter - Melanie Halter Neck Maxi Dress - Cream - AUS - 22.10.25 – Copy,-,-,-,1.99,,,124,112,1.10714286,4,3.22580645,3,,,5,https://www.facebook.com/?feed_demo_ad=120236371165690758&h=AQCcSdx-h8HSNWZA4-4,17/10/2025,23/10/2025
DYNCAR - Back In Stock October  - AUS,DYNCAR - Back In Stock October  - AUS,-,-,-,1.69,,,147,111,1.32432432,9,6.12244898,8,,,,https://www.facebook.com/?feed_demo_ad=120232959180880758&h=AQDAmD5A3CPcEOjdPEk,17/10/2025,23/10/2025
EP1 - @rosalieburns - Melanie Halter Neck Maxi Dress - Cream - USA - 22.10.25 – Copy,EP1 - @rosalieburns - Melanie Halter Neck Maxi Dress - Cream - USA - 22.10.25 – Copy,-,-,-,1.25,,,102,92,1.10869565,4,3.92156863,4,,,1,https://www.facebook.com/?feed_demo_ad=120236371544410758&h=AQC9-4VOxUvyX2oIu5I,17/10/2025,23/10/2025
V8 - Partnership - @Bellarychter - AUS - 01.10.25,V8 - Partnership - @Bellarychter - AUS - 01.10.25,-,-,-,0.6,,,33,29,1.13793103,0,0,,,,2,https://www.facebook.com/?feed_demo_ad=120235479154010758&h=AQCJvW-r1QgH5Sq6luM,17/10/2025,23/10/2025
Video Grid - Cohen Knit - 15.10.25 - Copy,Video Grid - Cohen Knit - 15.10.25 - Copy,-,-,-,0.59,Landing page views,0.295,31,28,1.10714286,4,12.90322581,2,,,5,https://www.facebook.com/?feed_demo_ad=120235831537180758&h=AQDtOT-nGUqyd-SNJEw,17/10/2025,23/10/2025
"EPV3 - @robbijan - Halle One Shoulder Maxi Dress, Esther Maxi Dress, Greta Maxi Dress, Zendaya Maxi Dress & Auria Off Shoulder Maxi Dress - UK - 25.06.25","EPV3 - @robbijan - Halle One Shoulder Maxi Dress, Esther Maxi Dress, Greta Maxi Dress, Zendaya Maxi Dress & Auria Off Shoulder Maxi Dress - UK - 25.06.25",-,-,-,0.59,,,58,51,1.1372549,0,0,,,,7,https://www.facebook.com/?feed_demo_ad=120235332597380758&h=AQDtRjCxrhn0M_CrkWM,17/10/2025,23/10/2025
DPA - Prospecting - Static All prod - CAN,DPA - Prospecting - Static All prod - CAN,-,-,-,0.54,,,29,24,1.20833333,0,0,,,,2,https://www.facebook.com/?feed_demo_ad=120235469045270758&h=AQDmiHhr9ErEoBjsZO4&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
EPV1 - @deepikangalie - Cia Maxi Dress - Black/White - AUS - 22.10.25 – Copy,EPV1 - @deepikangalie - Cia Maxi Dress - Black/White - AUS - 22.10.25 – Copy,-,-,-,0.07,,,2,2,1,0,0,,,,,https://www.facebook.com/?feed_demo_ad=120236371165660758&h=AQChlJ5zGDY28INxkaE,17/10/2025,23/10/2025
Video Grid - Cohen Knit - 15.10.25,Video Grid - Cohen Knit - 15.10.25,-,-,-,0.01,,,1,1,1,0,0,,,,,https://www.facebook.com/?feed_demo_ad=120235764954410758&h=AQA2MJC0m2HjFqSaqyM,17/10/2025,23/10/2025
DYNCAR1 - WK 17 - AUS - 17.9.25,DYNCAR1 - WK 17 - AUS - 17.9.25,-,-,-,0,Website purchases,0,0,0,0,0,,,1,,,https://www.facebook.com/?feed_demo_ad=120234163204370758&h=AQC5OinSz5mYBww5dt4,17/10/2025,23/10/2025
EP1 - @dekota_thompson - Tiarna Off The Shoulder Maxi Dress - Yellow- AUS - 09.10.25 – Copy,EP1 - @dekota_thompson - Tiarna Off The Shoulder Maxi Dress - Yellow- AUS - 09.10.25 – Copy,-,-,-,0,Website purchases,0,0,0,0,0,,,1,,,https://www.facebook.com/?feed_demo_ad=120235482283910758&h=AQABGfsPf474FdYQsd0,17/10/2025,23/10/2025
EP2 - Lilah Maxi Dress - Red - UK - 05.08.25 – Copy,EP2 - Lilah Maxi Dress - Red - UK - 05.08.25 – Copy,-,-,-,0,,,7,7,1,0,0,,,,,https://www.facebook.com/?feed_demo_ad=120233787361070758&h=AQAOxYPGg4qBk_OPL-g,17/10/2025,23/10/2025